The Words         1  2  3  4  5  6  7  8  9  10  
('A',)            0  1  0  0  0  0  0  0  0  0  
('Excessive',)    0  0  0  0  0  0  0  1  0  0  
('Government',)   1  0  0  0  0  0  0  0  0  0  
('Grand',)        0  0  0  0  1  0  0  0  0  0  
('In',)           0  0  0  0  0  1  1  0  0  0  
('Jury',)         0  0  0  0  1  0  0  0  0  0  
('Militia',)      0  0  0  0  1  0  0  0  0  0  
('No',)           0  0  1  0  1  0  0  0  0  0  
('State',)        0  1  0  0  0  1  0  0  0  0  
('War',)          0  0  0  0  1  0  0  0  0  0  
('Warrants',)     0  0  0  1  0  0  0  0  0  0  
('a',)            1  1  1  0  4  1  1  0  0  0  
('abridging',)    1  0  0  0  0  0  0  0  0  0  
('according',)    0  0  0  0  0  0  1  0  0  0  
('accusation',)   0  0  0  0  0  1  0  0  0  0  
('accused',)      0  0  0  0  0  1  0  0  0  0  
('actual',)       0  0  0  0  1  0  0  0  0  0  
('affirmation',)  0  0  0  1  0  0  0  0  0  0  
('against',)      0  0  0  1  1  1  0  0  0  0  
('all',)          0  0  0  0  0  1  0  0  0  0  
('an',)           1  0  0  0  0  1  0  0  0  0  
('and',)          1  1  0  5  0  5  1  1  0  0  
('answer',)       0  0  0  0  1  0  0  0  0  0  
('any',)          0  0  1  0  2  0  1  0  0  0  
('are',)          0  0  0  0  0  0  0  0  0  1  
('arising',)      0  0  0  0  1  0  0  0  0  0  
('arms',)         0  1  0  0  0  0  0  0  0  0  
('ascertained',)  0  0  0  0  0  1  0  0  0  0  
('assemble',)     1  0  0  0  0  0  0  0  0  0  
('assistance',)   0  0  0  0  0  1  0  0  0  0  
('at',)           0  0  0  0  0  0  1  0  0  0  
('bail',)         0  0  0  0  0  0  0  1  0  0  
('be',)           0  1  2  4  7  2  2  1  1  0  
('bear',)         0  1  0  0  0  0  0  0  0  0  
('been',)         0  0  0  0  0  2  0  0  0  0  
('being',)        0  1  0  0  0  0  0  0  0  0  
('but',)          0  0  1  1  0  0  0  0  0  0  
('capital',)      0  0  0  0  1  0  0  0  0  0  
('case',)         0  0  0  0  1  0  0  0  0  0  
('cases',)        0  0  0  0  1  0  0  0  0  0  
('cause',)        0  0  0  1  0  1  0  0  0  0  
('certain',)      0  0  0  0  0  0  0  0  1  0  
('committed',)    0  0  0  0  0  1  0  0  0  0  
('common',)       0  0  0  0  0  0  2  0  0  0  
('compelled',)    0  0  0  0  1  0  0  0  0  0  
('compensation',) 0  0  0  0  1  0  0  0  0  0  
('compulsory',)   0  0  0  0  0  1  0  0  0  0  
('confronted',)   0  0  0  0  0  1  0  0  0  0  
('consent',)      0  0  1  0  0  0  0  0  0  0  
('construed',)    0  0  0  0  0  0  0  0  1  0  
('controversy',)  0  0  0  0  0  0  1  0  0  0  
('counsel',)      0  0  0  0  0  1  0  0  0  0  
('court',)        0  0  0  0  0  0  1  0  0  0  
('crime',)        0  0  0  0  1  1  0  0  0  0  
('criminal',)     0  0  0  0  1  1  0  0  0  0  
('cruel',)        0  0  0  0  0  0  0  1  0  0  
('danger',)       0  0  0  0  1  0  0  0  0  0  
('defense',)      0  0  0  0  0  1  0  0  0  0  
('delegated',)    0  0  0  0  0  0  0  0  0  1  
('deny',)         0  0  0  0  0  0  0  0  1  0  
('deprived',)     0  0  0  0  1  0  0  0  0  0  
('describing',)   0  0  0  1  0  0  0  0  0  0  
('disparage',)    0  0  0  0  0  0  0  0  1  0  
('district',)     0  0  0  0  0  2  0  0  0  0  
('dollars',)      0  0  0  0  0  0  1  0  0  0  
('due',)          0  0  0  0  1  0  0  0  0  0  
('effects',)      0  0  0  1  0  0  0  0  0  0  
('enjoy',)        0  0  0  0  0  1  0  0  0  0  
('enumeration',)  0  0  0  0  0  0  0  0  1  0  
('establishment',)1  0  0  0  0  0  0  0  0  0  
('examined',)     0  0  0  0  0  0  1  0  0  0  
('exceed',)       0  0  0  0  0  0  1  0  0  0  
('except',)       0  0  0  0  1  0  0  0  0  0  
('excessive',)    0  0  0  0  0  0  0  1  0  0  
('exercise',)     1  0  0  0  0  0  0  0  0  0  
('fact',)         0  0  0  0  0  0  1  0  0  0  
('favor',)        0  0  0  0  0  1  0  0  0  0  
('fines',)        0  0  0  0  0  0  0  1  0  0  
('for',)          1  0  0  0  3  2  0  0  0  0  
('forces',)       0  0  0  0  1  0  0  0  0  0  
('free',)         1  1  0  0  0  0  0  0  0  0  
('freedom',)      1  0  0  0  0  0  0  0  0  0  
('grievances',)   1  0  0  0  0  0  0  0  0  0  
('have',)         0  0  0  0  0  4  0  0  0  0  
('held',)         0  0  0  0  1  0  0  0  0  0  
('him',)          0  0  0  0  0  1  0  0  0  0  
('himself',)      0  0  0  0  1  0  0  0  0  0  
('his',)          0  0  0  0  0  2  0  0  0  0  
('house',)        0  0  1  0  0  0  0  0  0  0  
('houses',)       0  0  0  1  0  0  0  0  0  0  
('impartial',)    0  0  0  0  0  1  0  0  0  0  
('imposed',)      0  0  0  0  0  0  0  1  0  0  
('in',)           0  0  4  1  7  1  2  0  1  0  
('indictment',)   0  0  0  0  1  0  0  0  0  0  
('infamous',)     0  0  0  0  1  0  0  0  0  0  
('inflicted',)    0  0  0  0  0  0  0  1  0  0  
('informed',)     0  0  0  0  0  1  0  0  0  0  
('infringed',)    0  1  0  0  0  0  0  0  0  0  
('issue',)        0  0  0  1  0  0  0  0  0  0  
('it',)           0  0  0  0  0  0  0  0  0  1  
('jeopardy',)     0  0  0  0  1  0  0  0  0  0  
('jury',)         0  0  0  0  0  1  2  0  0  0  
('just',)         0  0  0  0  1  0  0  0  0  0  
('keep',)         0  1  0  0  0  0  0  0  0  0  
('land',)         0  0  0  0  1  0  0  0  0  0  
('law',)          1  0  1  0  1  1  2  0  0  0  
('liberty',)      0  0  0  0  1  0  0  0  0  0  
('life',)         0  0  0  0  2  0  0  0  0  0  
('limb',)         0  0  0  0  1  0  0  0  0  0  
('make',)         1  0  0  0  0  0  0  0  0  0  
('manner',)       0  0  1  0  0  0  0  0  0  0  
('militia',)      0  1  0  0  0  0  0  0  0  0  
('nature',)       0  0  0  0  0  1  0  0  0  0  
('naval',)        0  0  0  0  1  0  0  0  0  0  
('necessary',)    0  1  0  0  0  0  0  0  0  0  
('no',)           1  0  0  1  0  0  1  0  0  0  
('nor',)          0  0  1  0  4  0  0  2  0  1  
('not',)          0  1  0  1  0  0  0  1  1  1  
('oath',)         0  0  0  1  0  0  0  0  0  0  
('obtaining',)    0  0  0  0  0  1  0  0  0  0  
('offense',)      0  0  0  0  1  0  0  0  0  0  
('on',)           0  0  0  0  1  0  0  0  0  0  
('or',)           4  0  0  2  7  0  0  0  1  1  
('others',)       0  0  0  0  0  0  0  0  1  0  
('otherwise',)    0  0  0  0  1  0  1  0  0  0  
('owner',)        0  0  1  0  0  0  0  0  0  0  
('papers',)       0  0  0  1  0  0  0  0  0  0  
('particularly',) 0  0  0  1  0  0  0  0  0  0  
('peace',)        0  0  1  0  0  0  0  0  0  0  
('peaceably',)    1  0  0  0  0  0  0  0  0  0  
('people',)       1  1  0  1  0  0  0  0  1  1  
('person',)       0  0  0  0  2  0  0  0  0  0  
('persons',)      0  0  0  2  0  0  0  0  0  0  
('petition',)     1  0  0  0  0  0  0  0  0  0  
('place',)        0  0  0  1  0  0  0  0  0  0  
('powers',)       0  0  0  0  0  0  0  0  0  1  
('prescribed',)   0  0  1  0  0  0  0  0  0  0  
('presentment',)  0  0  0  0  1  0  0  0  0  0  
('preserved',)    0  0  0  0  0  0  1  0  0  0  
('press',)        1  0  0  0  0  0  0  0  0  0  
('previously',)   0  0  0  0  0  1  0  0  0  0  
('private',)      0  0  0  0  1  0  0  0  0  0  
('probable',)     0  0  0  1  0  0  0  0  0  0  
('process',)      0  0  0  0  1  1  0  0  0  0  
('prohibited',)   0  0  0  0  0  0  0  0  0  1  
('prohibiting',)  1  0  0  0  0  0  0  0  0  0  
('property',)     0  0  0  0  2  0  0  0  0  0  
('prosecutions',) 0  0  0  0  0  1  0  0  0  0  
('public',)       0  0  0  0  2  1  0  0  0  0  
('punishments',)  0  0  0  0  0  0  0  1  0  0  
('put',)          0  0  0  0  1  0  0  0  0  0  
('quartered',)    0  0  1  0  0  0  0  0  0  0  
('re',)           0  0  0  0  0  0  1  0  0  0  
('redress',)      1  0  0  0  0  0  0  0  0  0  
('regulated',)    0  1  0  0  0  0  0  0  0  0  
('religion',)     1  0  0  0  0  0  0  0  0  0  
('required',)     0  0  0  0  0  0  0  1  0  0  
('reserved',)     0  0  0  0  0  0  0  0  0  1  
('respecting',)   1  0  0  0  0  0  0  0  0  0  
('respectively',) 0  0  0  0  0  0  0  0  0  1  
('retained',)     0  0  0  0  0  0  0  0  1  0  
('right',)        1  1  0  1  0  1  1  0  0  0  
('rights',)       0  0  0  0  0  0  0  0  1  0  
('rules',)        0  0  0  0  0  0  1  0  0  0  
('same',)         0  0  0  0  1  0  0  0  0  0  
('searched',)     0  0  0  1  0  0  0  0  0  0  
('searches',)     0  0  0  1  0  0  0  0  0  0  
('secure',)       0  0  0  1  0  0  0  0  0  0  
('security',)     0  1  0  0  0  0  0  0  0  0  
('seized',)       0  0  0  1  0  0  0  0  0  0  
('seizures',)     0  0  0  1  0  0  0  0  0  0  
('service',)      0  0  0  0  1  0  0  0  0  0  
('shall',)        1  1  1  2  4  3  3  1  1  0  
('soldier',)      0  0  1  0  0  0  0  0  0  0  
('speech',)       1  0  0  0  0  0  0  0  0  0  
('speedy',)       0  0  0  0  0  1  0  0  0  0  
('subject',)      0  0  0  0  1  0  0  0  0  0  
('suits',)        0  0  0  0  0  0  1  0  0  0  
('supported',)    0  0  0  1  0  0  0  0  0  0  
('taken',)        0  0  0  0  1  0  0  0  0  0  
('than',)         0  0  0  0  0  0  1  0  0  0  
('their',)        0  0  0  1  0  0  0  0  0  0  
('thereof',)      1  0  0  0  0  0  0  0  0  0  
('things',)       0  0  0  1  0  0  0  0  0  0  
('time',)         0  0  2  0  1  0  0  0  0  0  
('trial',)        0  0  0  0  0  1  1  0  0  0  
('tried',)        0  0  0  0  0  0  1  0  0  0  
('twenty',)       0  0  0  0  0  0  1  0  0  0  
('twice',)        0  0  0  0  1  0  0  0  0  0  
('unless',)       0  0  0  0  1  0  0  0  0  0  
('unreasonable',) 0  0  0  1  0  0  0  0  0  0  
('unusual',)      0  0  0  0  0  0  0  1  0  0  
('upon',)         0  0  0  1  0  0  0  0  0  0  
('use',)          0  0  0  0  1  0  0  0  0  0  
('value',)        0  0  0  0  0  0  1  0  0  0  
('violated',)     0  0  0  1  0  0  0  0  0  0  
('war',)          0  0  1  0  0  0  0  0  0  0  
('well',)         0  1  0  0  0  0  0  0  0  0  
('when',)         0  0  0  0  1  0  0  0  0  0  
('where',)        0  0  0  0  0  0  1  0  0  0  
('wherein',)      0  0  0  0  0  1  0  0  0  0  
('which',)        0  0  0  0  0  1  0  0  0  0  
('with',)         0  0  0  0  0  1  0  0  0  0  
('without',)      0  0  1  0  2  0  0  0  0  0  
('witness',)      0  0  0  0  1  0  0  0  0  0  
('witnesses',)    0  0  0  0  0  2  0  0  0  0  
